,path,emotion
0,dataset/CA/happy\hamed1_happy.wav,happy
1,dataset/CA/happy\hamed2_happy.wav,happy
2,dataset/CA/happy\hamed3_happy.wav,happy
3,dataset/CA/happy\hamed4_happy.wav,happy
4,dataset/CA/happy\hamed5_happy.wav,happy
5,dataset/CA/happy\hamed6_happy.wav,happy
6,dataset/CA/happy\hamed7_happy.wav,happy
7,dataset/CA/happy\hamed8_happy.wav,happy
8,dataset/CA/happy\hamed9_happy.wav,happy
9,dataset/CA/happy\hamedA_happy.wav,happy
10,dataset/CA/happy\hamedB_happy.wav,happy
11,dataset/CA/happy\hamedC_happy.wav,happy
12,dataset/CA/happy\nadjib1_happy.wav,happy
13,dataset/CA/happy\nadjib2_happy.wav,happy
14,dataset/CA/happy\nadjib3_happy.wav,happy
15,dataset/CA/happy\nadjib4_happy.wav,happy
16,dataset/CA/happy\nadjib5_happy.wav,happy
17,dataset/CA/happy\nadjib6_happy.wav,happy
18,dataset/CA/happy\nadjib7_happy.wav,happy
19,dataset/CA/happy\nadjib8_happy.wav,happy
20,dataset/CA/happy\nadjib9_happy.wav,happy
21,dataset/CA/happy\nadjibA_happy.wav,happy
22,dataset/CA/happy\nadjibB_happy.wav,happy
23,dataset/CA/happy\nadjibC_happy.wav,happy
24,dataset/CA/happy\oumaima1_happy.wav,happy
25,dataset/CA/happy\oumaima2_happy.wav,happy
26,dataset/CA/happy\oumaima3_happy.wav,happy
27,dataset/CA/happy\oumaima4_happy.wav,happy
28,dataset/CA/happy\oumaima5_happy.wav,happy
29,dataset/CA/happy\oumaima6_happy.wav,happy
30,dataset/CA/happy\oumaima7_happy.wav,happy
31,dataset/CA/happy\oumaima8_happy.wav,happy
32,dataset/CA/happy\oumaima9_happy.wav,happy
33,dataset/CA/happy\oumaimaA_happy.wav,happy
34,dataset/CA/happy\oumaimaB_happy.wav,happy
35,dataset/CA/happy\oumaimaC_happy.wav,happy
36,dataset/CA/happy\rockikz1_happy.wav,happy
37,dataset/CA/happy\rockikz2_happy.wav,happy
38,dataset/CA/happy\rockikz3_happy.wav,happy
39,dataset/CA/happy\rockikz4_happy.wav,happy
40,dataset/CA/happy\rockikz5_happy.wav,happy
