iter	MultiClass
0	1.705589243
1	1.599215239
2	1.51378375
3	1.446848135
4	1.386770902
5	1.334269215
6	1.284439675
7	1.241793341
8	1.196089944
9	1.158656534
10	1.118612356
11	1.082652203
12	1.055038163
13	1.02637391
14	0.9974036195
15	0.972132377
16	0.9517345646
17	0.930410941
18	0.9058123803
19	0.8807534201
20	0.8578305563
21	0.8309771005
22	0.8097192333
23	0.7933267894
24	0.7740729399
25	0.7607970497
26	0.7408456221
27	0.7209414302
28	0.7080935264
29	0.6931052909
30	0.679631647
31	0.669496511
32	0.655919082
33	0.6480092518
34	0.6380434264
35	0.6295127855
36	0.6178824803
37	0.6038058907
38	0.5935049867
39	0.583013168
40	0.5750972107
41	0.5655927634
42	0.5565083172
43	0.5483406959
