iter	Passed	Remaining
0	336	336367
1	473	236190
2	593	197140
3	720	179324
4	844	168131
5	965	159996
6	1085	153946
7	1206	149552
8	1323	145731
9	1443	142950
10	1563	140579
11	1691	139258
12	1810	137445
13	1934	136234
14	2052	134768
15	2182	134246
16	2485	143728
17	2648	144470
18	2831	146201
19	2999	146988
20	3255	151747
21	3380	150285
22	3506	148929
23	3630	147655
24	3748	146174
25	3869	144963
26	3987	143697
27	4109	142653
28	4232	141721
29	4363	141084
30	4494	140492
31	4642	140428
32	4764	139620
33	4887	138874
34	5029	138666
35	5180	138725
36	5307	138126
37	5427	137407
38	5555	136902
39	5677	136266
40	5793	135521
41	5911	134832
42	6031	134244
43	6156	133763
